pos,normalized_url,tfidf,vocab,avg_rating
256,zestypaws.com,1074.3781298679153,multivitamin,4.8025806451612905
507,zestypaws.com,795.7329632828172,mobility bite,4.816202090592334
558,zestypaws.com,702.1580939072246,calming bite,4.6021717670286275
763,zestypaws.com,478.9647017669222,salmon bite,4.83068017366136
179,zestypaws.com,453.0690686329772,pump,4.329979879275654
256,pethonesty.com,438.0690181138854,multivitamin,4.795886075949367
862,zestypaws.com,422.81978014156664,probiotic bite,4.868852459016393
836,pethonesty.com,420.7403385998868,hemp mobility,4.838550247116968
915,zestypaws.com,399.94592318308844,omega bite,4.786828422876949
941,zestypaws.com,385.3898323913296,aller-immune bite,4.820143884892087
1012,pethonesty.com,224.57968650142226,yellow spot,4.3765432098765435
1017,pethonesty.com,196.85379927902446,brown spot,4.316901408450704
1887,pethonesty.com,186.45659157062528,calming hemp,4.631970260223048
1488,pethonesty.com,182.29770848726562,grass green,4.562737642585551
1173,pethonesty.com,158.03755716766753,burn spot,4.140350877192983
1446,pethonesty.com,137.24314175086917,spot lawn,4.328282828282828
1119,dogswell.com,84.96184546598283,happy hip,4.266094420600858
4295,nativepet.com,73.4736011393542,yak chew,4.037735849056604
6993,bixbipet.com,68.11396189742281,rawbble,4.5
1350,dogswell.com,67.4589760137632,made china,2.2324324324324323
8862,dogswell.com,52.733389856069266,hip chicken,4.020833333333333
5552,dogswell.com,51.986038541995896,chicken strip,3.6533333333333333
11485,dogswell.com,40.648654680720064,duck breast,3.7027027027027026
6200,dogswell.com,40.20253647247683,jerky strip,3.9482758620689653
1757,dogswell.com,37.193597585966735,jerky treat,3.9019607843137254
13386,dogswell.com,35.15559323737951,hip duck,3.5625
14661,bixbipet.com,31.859756371375184,bark pop,3.9655172413793105
2094,bixbipet.com,25.544301810814357,mushroom,3.9206349206349205
5021,nativepet.com,24.327906486489862,canned pumpkin,4.016666666666667
14305,nativepet.com,17.328679513998633,pumpkin powder,4.92
1757,bixbipet.com,14.768046100310322,jerky treat,4.580246913580247
3609,nativepet.com,14.038759873134504,chewer,4.597402597402597
8405,bixbipet.com,13.380348567569424,wart,4.787878787878788
34086,nativepet.com,13.183347464017316,yak cheese,4.0
34672,bixbipet.com,13.183347464017316,barkbox,4.583333333333333
2364,bixbipet.com,12.580187418782867,training treat,4.608695652173913
11653,bixbipet.com,12.163953243244931,cheese puff,4.7
38943,nativepet.com,12.084735175349207,yak stick,4.2727272727272725
2286,nativepet.com,11.121614964431231,bone broth,4.786885245901639
42192,nativepet.com,10.986122886681098,yak bone,4.3
